ccn,state,county,county_fips,harm_survey_week,flagged,first_crossing_week,lead_days,score_at_crossing,prior_harm_rate_at_crossing,hprd_total_at_crossing,hprd_rn_at_crossing,rn_share_at_crossing,contract_frac_at_crossing,weekend_gap_at_crossing,hprd_cv_at_crossing,hprd_trend_at_crossing,low_days_frac_at_crossing,census_at_crossing,matched_controls,matched_controls_not_flagged
165255,IA,Warren,181,2025-07-28,1,2025-05-19,70,0.17272,1.037642,3.224967,0.490989,0.152246,0.071879,0.199674,0.128312,-0.100497,0.684783,77.076087,109,72
165310,IA,Linn,113,2025-06-09,0,,,,,,,,,,,,,,2,1
165310,IA,Linn,113,2025-11-03,0,,,,,,,,,,,,,,2,1
165322,IA,Linn,113,2026-01-05,0,,,,,,,,,,,,,,110,76
165345,IA,Polk,153,2025-06-30,0,,,,,,,,,,,,,,27,16
165373,IA,Harrison,085,2025-06-09,1,2025-05-19,21,0.171112,0.493581,3.643909,0.403042,0.110607,0.144347,0.172983,0.128172,0.03167,0.347826,67.673913,108,72
165383,IA,Adair,001,2025-07-14,0,,,,,,,,,,,,,,192,127
165399,IA,Warren,181,2025-08-18,0,,,,,,,,,,,,,,110,70
165428,IA,Cherokee,035,2025-12-08,0,,,,,,,,,,,,,,192,130
165436,IA,Scott,163,2025-12-15,1,2025-06-23,175,0.1702,1.462951,2.957669,0.726594,0.245664,0.001768,0.065941,0.080534,-0.121334,1.0,65.478261,110,77
165436,IA,Scott,163,2026-03-23,0,,,,,,,,,,,,,,0,0
165530,IA,Mills,129,2025-06-02,0,,,,,,,,,,,,,,108,71
165530,IA,Mills,129,2025-09-22,0,,,,,,,,,,,,,,110,70
165552,IA,Benton,011,2025-10-20,0,,,,,,,,,,,,,,193,120
165555,IA,Dallas,049,2025-04-07,1,2025-03-24,14,0.191351,0.0,2.707499,0.432312,0.159672,0.006625,0.219497,0.162875,-0.059019,0.956522,43.630435,185,128
165555,IA,Dallas,049,2025-10-13,1,2025-04-21,175,0.191351,0.48506,2.707499,0.432312,0.159672,0.006625,0.219497,0.162875,-0.059019,0.956522,43.630435,193,121
165555,IA,Dallas,049,2026-03-23,0,,,,,,,,,,,,,,0,0
165580,IA,Polk,153,2025-05-19,0,,,,,,,,,,,,,,27,16
165580,IA,Polk,153,2025-10-20,0,,,,,,,,,,,,,,28,16
165580,IA,Polk,153,2026-02-09,0,,,,,,,,,,,,,,28,22
165601,IA,Polk,153,2026-03-02,0,,,,,,,,,,,,,,28,22
165602,IA,Jefferson,101,2025-06-09,0,,,,,,,,,,,,,,108,71
175100,KS,Riley,161,2025-03-31,0,,,,,,,,,,,,,,25,15
175100,KS,Riley,161,2025-07-28,0,,,,,,,,,,,,,,26,14
175100,KS,Riley,161,2026-02-23,0,,,,,,,,,,,,,,26,14
175126,KS,Geary,061,2025-11-10,0,,,,,,,,,,,,,,60,47
175127,KS,Saline,169,2025-11-17,1,2025-05-26,175,0.169983,0.999772,3.157502,0.64979,0.205793,0.003749,0.16334,0.113441,0.016075,0.804348,39.945652,159,126
175130,KS,Johnson,091,2025-09-15,0,,,,,,,,,,,,,,9,7
175145,KS,Osage,139,2026-02-09,0,,,,,,,,,,,,,,157,126
175157,KS,Butler,015,2025-06-02,0,,,,,,,,,,,,,,26,14
175157,KS,Butler,015,2025-11-17,0,,,,,,,,,,,,,,26,13
175158,KS,Johnson,091,2025-11-17,0,,,,,,,,,,,,,,2,1
175158,KS,Johnson,091,2025-12-29,0,,,,,,,,,,,,,,2,1
175162,KS,Leavenworth,103,2025-07-28,1,2025-03-24,126,0.185803,0.0,4.45861,0.5276,0.118333,0.504882,0.204617,0.15533,0.172502,0.097826,35.826087,157,127
175165,KS,Shawnee,177,2025-06-02,0,,,,,,,,,,,,,,157,126
175180,KS,Johnson,091,2025-04-21,1,2025-03-24,28,0.198882,0.514075,3.086186,0.487497,0.157961,0.137329,0.064234,0.190342,-0.007198,0.706522,87.315217,25,16
175185,KS,Saline,169,2026-02-16,0,,,,,,,,,,,,,,60,50
175214,KS,Neosho,133,2026-03-02,0,,,,,,,,,,,,,,157,126
175215,KS,Leavenworth,103,2026-01-26,1,2025-08-04,175,0.217864,0.343927,2.997213,0.601661,0.20074,0.23946,0.150082,0.181105,0.005776,0.891304,79.097826,26,14
175219,KS,Wyandotte,209,2025-05-05,0,,,,,,,,,,,,,,154,129
175219,KS,Wyandotte,209,2025-06-23,0,,,,,,,,,,,,,,157,126
175220,KS,Pottawatomie,149,2025-07-28,0,,,,,,,,,,,,,,157,126
175228,KS,Leavenworth,103,2026-02-16,0,,,,,,,,,,,,,,60,50
175236,KS,Reno,155,2025-11-17,0,,,,,,,,,,,,,,159,125
175239,KS,Morris,127,2025-07-07,1,2025-03-24,105,0.194474,0.0,2.643178,0.572492,0.216593,0.0,0.173065,0.148799,-0.000664,0.967391,43.304348,157,127
175240,KS,Johnson,091,2025-09-15,0,,,,,,,,,,,,,,19,18
175242,KS,Johnson,091,2025-04-21,0,,,,,,,,,,,,,,9,7
175245,KS,Wyandotte,209,2026-01-26,1,2025-08-04,175,0.222473,0.236561,2.361488,0.408818,0.173119,0.002631,0.179308,0.107359,0.033897,1.0,94.282609,26,14
