make,model,model_year,component_group,recall_report_week,campaign_numbers,flagged,first_crossing_week,lead_days,score_at_crossing,n_trailing_at_crossing,rate_ratio_at_crossing,accel_at_crossing,severity_frac_at_crossing,hazard_lang_at_crossing,matched_controls,matched_controls_not_flagged
KIA,SPORTAGE,2009,SERVICE BRAKES,2022-10-20,22V800000,1,2022-04-28,175,0.009208,1.0,4.333333,0.0,0.0,1.0,41,0
JEEP,GRAND CHEROKEE,2014,FUEL/PROPULSION SYSTEM,2022-06-09,22V406000,1,2022-02-24,105,0.019771,1.0,0.866667,1.0,0.0,1.0,138,0
JEEP,GRAND CHEROKEE,2014,ENGINE,2023-06-08,23V411000,1,2022-12-15,175,0.030596,3.0,0.361111,-3.0,0.0,0.0,118,0
BUICK,ENCLAVE,2008,AIR BAGS,2021-10-07,21V782000,1,2021-04-15,175,0.023913,1.0,1.444444,0.0,0.0,0.0,21,0
NISSAN,XTERRA,2009,AIR BAGS,2023-02-09,23V067000,0,,,,,,,,,94,0
KIA,FORTE,2012,SERVICE BRAKES,2023-09-21,23V652000,0,,,,,,,,,138,0
KIA,FORTE,2010,SERVICE BRAKES,2023-09-21,23V652000,1,2023-05-11,133,0.009409,1.0,4.333333,1.0,0.0,1.0,66,0
BMW,328XI,2011,AIR BAGS,2024-06-27,24V513000,0,,,,,,,,,87,0
VOLVO,S80,2006,AIR BAGS,2021-09-30,21V766000,0,,,,,,,,,6,0
KIA,FORTE,2011,SERVICE BRAKES,2023-09-21,23V652000,1,2023-07-27,56,0.013191,1.0,4.333333,1.0,0.0,0.0,99,0
KIA,SPORTAGE,2011,SERVICE BRAKES,2023-09-21,23V652000,0,,,,,,,,,100,0
MAZDA,MAZDA3,2006,AIR BAGS,2021-07-01,21V494000,1,2021-03-25,98,0.014805,1.0,4.333333,1.0,1.0,1.0,24,0
FORD,EXPLORER,2011,STRUCTURE,2024-01-18,24V031000,1,2023-07-27,175,0.02146,1.0,0.481481,1.0,0.0,1.0,224,0
BUICK,LACROSSE,2012,SUSPENSION,2021-12-16,21V00F000,1,2021-06-24,175,0.027349,6.0,1.857143,0.0,0.166667,0.166667,62,0
FORD,FUSION,2013,SERVICE BRAKES,2023-03-09,23V162000,1,2022-09-15,175,0.023002,1.0,2.166667,0.0,1.0,1.0,411,0
FORD,EXPLORER,2013,STRUCTURE,2024-01-18,24V031000,1,2023-07-27,175,0.026542,5.0,0.77381,0.0,0.0,0.6,369,0
BUICK,LACROSSE,2010,SUSPENSION,2021-12-16,21V00F000,1,2021-06-24,175,0.020915,2.0,2.166667,-1.0,0.0,0.0,40,0
MERCEDES-BENZ,E350,2011,AIR BAGS,2021-08-12,21V638000,1,2021-06-24,49,0.023496,1.0,2.166667,1.0,1.0,1.0,86,0
HYUNDAI,GENESIS COUPE,2010,ELECTRICAL SYSTEM,2024-07-25,24V562000,0,,,,,,,,,93,0
HYUNDAI,VELOSTER,2013,ELECTRICAL SYSTEM,2023-02-23,23V132000,1,2022-09-01,175,0.017649,4.0,2.166667,-1.0,0.0,0.75,202,0
TESLA,MODEL S,2013,ELECTRICAL SYSTEM,2023-12-07,23V838000,1,2023-06-15,175,0.029537,3.0,0.928571,1.0,0.0,0.0,16,0
TESLA,MODEL S,2013,ELECTRICAL SYSTEM,2024-01-25,24V051000,1,2023-08-03,175,0.027405,3.0,1.083333,-1.0,0.0,0.0,17,0
TESLA,MODEL S,2013,ELECTRICAL SYSTEM,2024-02-22,24V153000,1,2023-08-31,175,0.027892,3.0,1.0,-1.0,0.0,0.0,17,0
HYUNDAI,VELOSTER,2013,SERVICE BRAKES,2023-09-21,23V651000,0,,,,,,,,,191,0
